Account,Date,Channel,Units,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
6425590009 TOWN OF ANDOVER,6/4/2015,1 Power Factor,Power Factor,65.100671,65.771812,64.238411,63.333333,66.451613,64.666667,67.096774,67.741935,64.666667,64.62585,63.758389,66.225166,64.42953,63.758389,63.945578,64.666667,63.758389,64.189189,66.666667,74.479167,87.112172,85.993976,86.363636,86.201991,86.619718,86.880857,89.915966,89.821616,89.490114,89.049774,89.320388,89.690722,89.511942,89.637306,89.533679,89.566116,89.68335,89.662231,89.570552,90,89.787664,89.858012,89.897959,89.623601,89.868288,89.787664,89.795918,89.908257,89.714868,89.457203,89.251844,88.921283,89.344262,89.194915,89.289502,89.289502,89.289502,89.183457,89.312169,89.1258,89.786223,91.133721,91.12426,90.746269,87.190083,86.956522,86.136364,85.746606,86.1678,85.714286,85.135135,86.599665,86.516854,86.681716,88.090349,91.605302,91.530461,91.59292,91.776799,91.642229,91.629956,91.629956,91.629956,91.776799,92.023634,92.058824,88.633754,87.384615,87.227414,87.150259,87.123572,86.602358,80.931587,71.896956,63.945578,63.636364
6425590009 TOWN OF ANDOVER,6/4/2015,2,kVAh,35.76,35.76,36.24,36,37.2,36,37.2,37.2,36,35.28,35.76,36.24,35.76,35.76,35.28,36,35.76,35.52,36.72,46.08,100.56,159.36,163.68,168.72,170.4,179.28,228.48,228.72,230.64,265.2,247.2,232.8,231.12,231.6,231.6,232.32,234.96,234.48,234.72,237.6,237.36,236.64,235.2,235.92,236.88,237.36,235.2,235.44,235.68,229.92,227.76,246.96,263.52,226.56,226.32,226.32,226.32,226.32,226.8,225.12,202.08,165.12,162.24,160.8,116.16,104.88,105.6,106.08,105.84,105.84,124.32,143.28,106.8,106.32,116.88,162.96,161.52,162.72,163.44,163.68,163.44,163.44,163.44,163.44,162.48,163.2,209.04,234,231.12,231.6,231.12,223.92,164.88,102.48,35.28,34.32
6425590009 TOWN OF ANDOVER,6/5/2015,1 kWh,kWh,21.6,22.32,22.56,24.48,23.28,22.56,21.84,21.6,21.84,22.32,21.84,21.6,22.08,22.08,22.08,22.32,26.64,42.24,76.32,94.8,138.48,154.32,180.48,155.52,148.08,149.76,147.6,147.12,193.92,212.88,213.36,212.88,212.4,212.64,212.16,209.76,209.76,206.16,204.24,204.96,205.44,204.72,203.04,202.08,202.32,202.8,201.84,202.56,202.56,203.52,203.52,234,216.96,206.16,204.48,204.48,203.76,203.76,204.96,204.72,204.96,204.72,204,203.76,206.88,206.16,204.24,203.52,227.76,222.24,201.84,202.08,202.32,202.32,204,208.32,210,206.4,204.24,203.76,204.24,177.84,148.08,158.64,203.52,201.84,179.76,181.68,155.52,153.12,145.68,142.56,26.88,22.8,22.8,22.56
6425590009 TOWN OF ANDOVER,6/5/2015,1 Power Factor,Power Factor,62.937063,63.265306,63.945578,66.666667,64.666667,63.087248,62.758621,62.937063,62.758621,64.137931,62.758621,62.068966,63.448276,63.013699,63.448276,63.265306,69.811321,67.692308,69.432314,74.108818,81.497175,82.120051,83.835006,82.970551,82.486631,82.978723,82.66129,82.503365,86.232657,87.30315,87.5,87.475345,87.537092,87.462981,87.524752,87.225549,87.312687,87.031408,87.014315,87.142857,87.169043,87.129724,86.947585,86.893705,86.996904,87.113402,86.97001,86.9207,86.9207,86.354379,86.004057,86.821015,86.756238,86.767677,86.673449,86.585366,86.544343,86.544343,86.524823,86.598985,86.524823,86.511156,86.294416,86.36826,86.633166,86.505539,86.395939,86.354379,86.116152,86.623012,86.522634,86.536485,86.372951,86.372951,86.46999,86.454183,86.978131,87.132725,87.103378,86.987705,87.192623,85.172414,82.376502,83.459596,87.153135,86.97001,91.119221,91.757576,92.571429,92.196532,92.24924,91.950464,69.135802,65.972222,65.068493,64.827586
6425590009 TOWN OF ANDOVER,6/5/2015,2,kVAh,34.32,35.28,35.28,36.72,36,35.76,34.8,34.32,34.8,34.8,34.8,34.8,34.8,35.04,34.8,35.28,38.16,62.4,109.92,127.92,169.92,187.92,215.28,187.44,179.52,180.48,178.56,178.32,224.88,243.84,243.84,243.36,242.64,243.12,242.4,240.48,240.24,236.88,234.72,235.2,235.68,234.96,233.52,232.56,232.56,232.8,232.08,233.04,233.04,235.68,236.64,269.52,250.08,237.6,235.92,236.16,235.44,235.44,236.88,236.4,236.88,236.64,236.4,235.92,238.8,238.32,236.4,235.68,264.48,256.56,233.28,233.52,234.24,234.24,235.92,240.96,241.44,236.88,234.48,234.24,234.24,208.8,179.76,190.08,233.52,232.08,197.28,198,168,166.08,157.92,155.04,38.88,34.56,35.04,34.8
6425590009 TOWN OF ANDOVER,6/6/2015,1 kWh,kWh,23.52,23.04,22.56,24.72,25.92,22.8,23.04,23.28,23.04,22.56,23.04,22.8,23.04,22.8,23.76,26.4,69.84,127.68,143.28,144.96,144.24,144.48,143.76,144.48,192.96,206.88,210.24,211.44,211.44,210.24,210.24,206.16,206.88,206.88,206.4,214.8,238.32,211.44,203.76,202.32,204,206.16,209.28,209.04,208.8,205.2,203.76,203.28,204.96,203.76,204,203.76,204.48,204.24,207.12,205.68,199.92,200.64,205.68,233.52,210.72,200.4,199.68,199.2,155.52,140.16,141.84,159.12,147.12,146.88,147.12,146.88,147.6,147.84,147.84,148.08,148.32,150.96,150.72,148.32,147.6,147.6,152.64,181.68,158.88,155.52,202.32,203.76,204.24,204.48,201.36,183.36,134.64,90.96,54.48,22.8
6425590009 TOWN OF ANDOVER,6/6/2015,1 Power Factor,Power Factor,64.473684,65.306122,63.513514,67.320261,68.35443,65.068493,64,65.100671,64.864865,63.945578,64.864865,63.758389,64.42953,63.333333,65.562914,69.18239,77.188329,77.891654,77.532468,77.935484,77.548387,77.677419,77.390181,77.477477,82.886598,84.344423,84.637681,84.79307,83.984747,83.908046,83.827751,83.560311,83.770651,83.933788,83.820663,83.56676,84.510638,83.904762,83.562992,83.714002,83.497053,84.050881,84.251208,84.073359,83.976834,82.848837,83.562992,83.613031,83.15482,83.153771,82.60447,82.748538,82.638215,82.621359,82.901057,82.882012,82.556987,82.608696,82.403846,83.591065,82.908404,82.591494,82.703777,82.587065,77.697842,75.452196,75.866496,78.183962,82.726046,82.591093,82.614555,82.702703,82.66129,82.684564,82.463186,82.597055,82.4,82.98153,82.849604,82.95302,83.220568,83.333333,83.137255,84.675615,83.903676,84.5953,83.465347,83.398821,83.759843,83.529412,83.316783,81.798715,76.849315,73.735409,70.716511,65.068493
6425590009 TOWN OF ANDOVER,6/6/2015,2,kVAh,36.48,35.28,35.52,36.72,37.92,35.04,36,35.76,35.52,35.28,35.52,35.76,35.76,36,36.24,38.16,90.48,163.92,184.8,186,186,186,185.76,186.48,232.8,245.28,248.4,249.36,251.76,250.56,250.8,246.72,246.96,246.48,246.24,257.04,282,252,243.84,241.68,244.32,245.28,248.4,248.64,248.64,247.68,243.84,243.12,246.48,245.04,246.96,246.24,247.44,247.2,249.84,248.16,242.16,242.88,249.6,279.36,254.16,242.64,241.44,241.2,200.16,185.76,186.96,203.52,177.84,177.84,178.08,177.6,178.56,178.8,179.28,179.28,180,181.92,181.92,178.8,177.36,177.12,183.6,214.56,189.36,183.84,242.4,244.32,243.84,244.8,241.68,224.16,175.2,123.36,77.04,35.04
6425590009 TOWN OF ANDOVER,6/7/2015,1 kWh,kWh,23.04,22.32,24,25.2,23.28,23.04,22.32,22.56,22.8,22.56,22.56,22.32,22.8,24.24,25.68,56.64,107.28,141.12,172.56,208.8,209.04,210.24,215.28,216.48,216,216.48,214.8,210.24,236.88,237.84,213.12,214.32,211.2,209.76,209.04,208.56,212.4,214.8,213.84,214.32,213.6,209.28,208.32,208.8,209.28,211.2,210.72,209.52,229.44,238.56,213.36,213.36,209.52,208.32,208.08,208.32,209.28,208.8,208.32,209.04,208.8,207.6,207.12,205.92,205.92,204.96,172.32,147.36,149.52,150,146.64,141.6,142.32,144,196.08,195.6,196.56,197.76,197.52,196.56,203.28,204.72,205.2,204.24,204.48,228.24,232.08,192,140.64,139.44,138.72,140.4,120,22.8,24.48,25.92
6425590009 TOWN OF ANDOVER,6/7/2015,1 Power Factor,Power Factor,64.42953,65.034965,66.666667,68.627451,65.100671,64.42953,63.69863,63.513514,64.189189,63.513514,63.513514,64.583333,65.068493,67.333333,69.480519,82.229965,86.627907,86.597938,88.220859,90.15544,90.165631,90.030832,90.150754,90.471414,90.452261,90.653266,90.587045,90.216272,89.564428,89.927405,89.969605,89.929507,89.88764,89.917695,89.979339,89.958592,90.030519,90.040241,90.091001,90.20202,90.080972,89.804325,89.855072,89.876033,89.896907,90.071648,89.775051,89.814815,89.179104,89.388489,89.616935,89.526687,89.355169,89.392379,89.381443,89.117043,89.344262,89.230769,89.208633,89.516958,89.322382,89.359504,89.152893,89.281998,89.281998,87.589744,85.782557,85.159501,85.459534,85.733882,85.335196,84.892086,84.95702,84.626234,88.804348,88.683351,89.021739,89.370933,89.165764,89.021739,89.62963,89.506821,89.810924,89.862724,89.589905,89.295775,89.869888,89.186176,85.547445,85.819793,86.526946,86.283186,84.602369,65.068493,66.666667,69.230769
