Account,Date,Channel,Units,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
6425590009 TOWN OF ANDOVER,6/4/2012,1 Power Factor,Power Factor,65.957447,68.918919,65,64.748201,64.028777,64.539007,63.571429,64.748201,64.285714,63.829787,63.829787,65.034965,68,64.827586,64.084507,62.5,63.829787,63.380282,63.888889,63.380282,63.888889,63.194444,63.636364,64,73.402062,76.435045,76.984127,77.590674,77.197452,77.040816,77.001271,77.059569,76.932826,76.587796,79.310345,84.312007,84.073359,84.123911,84.027106,83.836417,83.823529,83.90579,83.88998,84.003925,83.823529,84.046693,84.317522,84.126984,83.968463,83.751651,83.952255,83.952255,83.930943,83.801874,83.758389,83.646113,83.668005,83.489933,83.624161,83.646113,83.994709,83.416459,84.350721,83.886839,83.355705,83.445491,83.400268,83.646113,83.488682,83.866667,83.862434,83.602151,82.835821,65.100671,66.887417,63.194444,63.448276,62.5,63.448276,63.194444,63.380282,64.583333,64.084507,64.137931,65.693431,65.217391,64.748201,68.275862,67.346939,64.028777,65,64.539007,64.539007,64.539007,63.380282,64.335664
6425590009 TOWN OF ANDOVER,6/4/2012,2,kVAh,33.84,35.52,33.6,33.36,33.36,33.84,33.6,33.36,33.6,33.84,33.84,34.32,36,34.8,34.08,34.56,33.84,34.08,34.56,34.08,34.56,34.56,34.32,36,116.4,158.88,181.44,185.28,188.4,188.16,188.88,189.36,189.36,192.72,229.68,273.84,248.64,247.92,247.92,246.48,244.8,244.56,244.32,244.56,244.8,246.72,247.92,196.56,182.64,181.68,180.96,180.96,180.72,179.28,178.8,179.04,179.28,178.8,178.8,179.04,181.44,192.48,216.24,195.12,178.8,178.32,179.28,179.04,180.24,180,181.44,178.56,128.64,35.76,36.24,34.56,34.8,34.56,34.8,34.56,34.08,34.56,34.08,34.8,32.88,33.12,33.36,34.8,35.28,33.36,33.6,33.84,33.84,33.84,34.08,34.32
6425590009 TOWN OF ANDOVER,6/5/2012,1 kWh,kWh,21.84,21.6,22.08,21.36,23.52,23.52,21.84,22.08,21.84,21.84,21.84,22.08,21.84,21.84,21.84,22.08,21.6,22.08,24.96,22.32,21.84,22.08,22.32,67.92,140.16,148.32,150.96,205.92,207.12,206.64,205.92,205.92,205.92,206.4,204.24,204.48,204.48,204.72,204.48,218.88,236.88,210.96,206.64,205.92,206.64,207.12,209.28,209.52,209.04,209.52,207.12,204.48,205.2,206.16,205.44,205.44,204.72,205.68,204.72,204.72,204.48,205.92,206.4,204,204.48,204,181.44,156.96,156.72,156.96,180.96,189.6,156.24,110.4,94.8,94.8,148.32,143.52,141.6,38.4,22.08,21.84,21.6,21.6,23.52,22.8,21.6,21.6,21.36,21.84,21.36,22.56,21.6,21.36,21.84,21.6
6425590009 TOWN OF ANDOVER,6/5/2012,1 Power Factor,Power Factor,65.467626,64.748201,64.788732,64.028777,67.123288,66.666667,64.539007,64.335664,64.084507,64.084507,64.084507,64.335664,64.084507,64.539007,63.636364,64.788732,63.380282,64.335664,67.973856,65.034965,64.539007,64.788732,65.957447,70.75,81.907433,82.95302,83.091149,87.372709,87.348178,87.322515,87.372709,87.283825,87.372709,87.398374,87.282051,87.116564,87.116564,87.218814,87.384615,86.7745,87.190813,87.115956,87.234043,87.283825,87.322515,87.348178,87.462387,87.387387,87.274549,87.387387,87.348178,87.205732,87.06721,87.296748,87.080366,87.169043,87.040816,87.270876,87.129724,87.040816,87.116564,87.106599,87.132725,87.001024,86.938776,87.179487,86.104784,84.496124,84.695201,84.715026,84.529148,85.037675,84.765625,78.098472,74.810606,74.528302,83.85346,83.753501,83.569405,70.175439,63.888889,64.084507,63.380282,63.829787,68.531469,66.901408,65.217391,65.217391,64.028777,65.467626,63.571429,66.197183,64.748201,64.028777,65,63.829787
6425590009 TOWN OF ANDOVER,6/5/2012,2,kVAh,33.36,33.36,34.08,33.36,35.04,35.28,33.84,34.32,34.08,34.08,34.08,34.32,34.08,33.84,34.32,34.08,34.08,34.32,36.72,34.32,33.84,34.08,33.84,96,171.12,178.8,181.68,235.68,237.12,236.64,235.68,235.92,235.68,236.16,234,234.72,234.72,234.72,234,252.24,271.68,242.16,236.88,235.92,236.64,237.12,239.28,239.76,239.52,239.76,237.12,234.48,235.68,236.16,235.92,235.68,235.2,235.68,234.96,235.2,234.72,236.4,236.88,234.48,235.2,234,210.72,185.76,185.04,185.28,214.08,222.96,184.32,141.36,126.72,127.2,176.88,171.36,169.44,54.72,34.56,34.08,34.08,33.84,34.32,34.08,33.12,33.12,33.36,33.36,33.6,34.08,33.36,33.36,33.6,33.84
6425590009 TOWN OF ANDOVER,6/6/2012,1 kWh,kWh,23.28,23.28,21.84,21.6,21.36,21.84,21.84,21.36,21.6,21.84,21.6,21.6,22.32,24.72,21.6,21.6,21.84,21.84,21.6,21.6,22.08,21.36,21.84,48.72,92.16,145.68,148.08,149.28,146.88,147.6,155.52,185.28,179.52,212.16,209.52,210.24,212.88,215.04,214.32,209.76,210,211.44,211.92,210.72,211.2,208.56,208.32,208.56,208.56,207.6,208.32,208.32,216.24,239.28,219.36,206.4,209.52,207.36,205.92,205.68,185.28,159.36,158.4,156.72,156,156.24,156,157.68,157.44,154.08,153.12,133.92,95.76,95.76,94.8,109.44,126.96,102.96,94.08,91.44,88.8,82.08,26.16,23.52,23.28,23.28,22.8,22.8,23.04,22.8,24.48,25.2,22.8,23.04,23.04,23.28
6425590009 TOWN OF ANDOVER,6/6/2012,1 Power Factor,Power Factor,66.896552,67.361111,65,64.285714,64.028777,65,64.539007,64.492754,63.380282,64.539007,63.380282,64.285714,65.492958,68.666667,64.285714,64.285714,64.539007,64.084507,63.829787,63.829787,65.714286,63.571429,64.539007,74.907749,80.842105,86.714286,86.901408,87.114846,86.075949,86.255259,85.601057,86.839145,87.179487,89.928789,89.814815,89.846154,89.959432,89.779559,89.929507,89.641026,89.468303,89.714868,89.735772,89.68335,89.613035,89.495366,89.484536,89.587629,89.495366,89.451913,89.576883,89.576883,89.031621,89.336918,89.520078,89.490114,89.814815,89.533679,89.561587,89.644351,88.735632,87.94702,88,87.768817,87.601078,87.735849,87.719298,87.834225,87.935657,87.824897,87.637363,85.714286,80.606061,80.606061,80.284553,80.28169,82.015504,80.487805,80,80.042017,79.569892,78.082192,66.871166,65.771812,67.361111,66.896552,66.901408,66.433566,66.206897,66.433566,67.549669,68.627451,64.62585,65.753425,66.206897,65.540541
6425590009 TOWN OF ANDOVER,6/6/2012,2,kVAh,34.8,34.56,33.6,33.6,33.36,33.6,33.84,33.12,34.08,33.84,34.08,33.6,34.08,36,33.6,33.6,33.84,34.08,33.84,33.84,33.6,33.6,33.84,65.04,114,168,170.4,171.36,170.64,171.12,181.68,213.36,205.92,235.92,233.28,234,236.64,239.52,238.32,234,234.72,235.68,236.16,234.96,235.68,233.04,232.8,232.8,233.04,232.08,232.56,232.56,242.88,267.84,245.04,230.64,233.28,231.6,229.92,229.44,208.8,181.2,180,178.56,178.08,178.08,177.84,179.52,179.04,175.44,174.72,156.24,118.8,118.8,118.08,136.32,154.8,127.92,117.6,114.24,111.6,105.12,39.12,35.76,34.56,34.8,34.08,34.32,34.8,34.32,36.24,36.72,35.28,35.04,34.8,35.52
6425590009 TOWN OF ANDOVER,6/7/2012,1 kWh,kWh,22.8,23.04,23.04,23.04,23.04,22.8,25.68,24.96,23.04,23.28,23.04,23.28,22.8,23.28,23.28,22.8,23.52,23.76,26.16,23.28,23.04,23.52,23.04,23.04,23.28,26.4,92.64,171.36,208.08,209.04,212.16,211.44,210,211.68,238.8,241.68,209.76,207.36,206.4,205.92,206.4,208.08,209.28,206.4,205.2,205.2,206.16,205.92,206.16,205.2,205.92,205.68,205.92,233.28,235.68,209.28,205.68,205.68,205.68,205.2,205.2,204.96,203.28,204.24,203.52,202.08,202.08,201.12,200.88,201.12,200.16,170.4,149.52,140.16,126.96,118.56,105.36,152.64,156,156.24,155.28,151.92,110.16,89.28,46.08,21.12,20.88,21.12,20.64,21.6,23.76,20.88,21.12,21.12,21.12,20.88
6425590009 TOWN OF ANDOVER,6/7/2012,1 Power Factor,Power Factor,65.972222,66.206897,66.206897,66.206897,65.306122,65.517241,69.032258,67.973856,64.864865,65.986395,65.306122,65.986395,65.068493,65.986395,65.540541,65.068493,65.771812,66,69.426752,65.986395,65.306122,66.216216,65.306122,65.753425,65.986395,65.088757,74.517375,85.714286,87.22334,87.362086,87.524752,87.574553,87.5,87.5,87.127846,87.413194,87.487487,87.096774,87.221095,87.018256,87.132725,87.22334,87.374749,87.221095,87.155963,87.155963,86.94332,86.930091,87.119675,87.06721,87.195122,87.182096,87.195122,86.708296,87.056738,87.287287,86.916836,86.916836,86.916836,86.978637,86.978637,87.142857,87.22966,87.103378,86.974359,86.893705,86.983471,86.929461,86.825726,86.839378,86.784599,88.972431,91.887906,89.984592,87.582781,87.900356,88.508065,91.774892,92.067989,91.949153,91.903409,91.73913,89.648438,87.529412,79.338843,62.857143,62.142857,63.309353,62.318841,63.829787,67.808219,62.589928,62.411348,61.971831,61.971831,62.142857
6425590009 TOWN OF ANDOVER,6/7/2012,2,kVAh,34.56,34.8,34.8,34.8,35.28,34.8,37.2,36.72,35.52,35.28,35.28,35.28,35.04,35.28,35.52,35.04,35.76,36,37.68,35.28,35.28,35.52,35.28,35.04,35.28,40.56,124.32,199.92,238.56,239.28,242.4,241.44,240,241.92,274.08,276.48,239.76,238.08,236.64,236.64,236.88,238.56,239.52,236.64,235.44,235.44,237.12,236.88,236.64,235.68,236.16,235.92,236.16,269.04,270.72,239.76,236.64,236.64,236.64,235.92,235.92,235.2,233.04,234.48,234,232.56,232.32,231.36,231.36,231.6,230.64,191.52,162.72,155.76,144.96,134.88,119.04,166.32,169.44,169.92,168.96,165.6,122.88,102,58.08,33.6,33.6,33.36,33.12,33.84,35.04,33.36,33.84,34.08,34.08,33.6
6425590009 TOWN OF ANDOVER,6/8/2012,1 kWh,kWh,20.88,21.12,20.64,21.36,20.88,21.36,24,21.36,21.12,21.12,21.36,20.88,21.12,21.36,21.12,21.36,21.36,22.56,23.52,21.36,21.84,21.12,21.6,40.56,96.96,144.24,145.68,145.92,149.04,149.52,149.52,178.8,211.92,202.32,198.96,198.48,198.48,200.88,237.84,240.48,210.72,207.84,209.04,210.96,211.92,210,208.08,208.08,208.32,208.32,207.84,207.84,207.84,206.88,207.36,207.6,209.28,211.2,241.2,239.28,209.76,211.44,210.48,207.12,205.2,205.44,204.96,204.72,205.2,204.72,206.4,151.92,150.72,129.36,97.92,123.6,129.12,118.08,93.84,95.52,147.84,148.08,150.24,148.08,147.84,147.6,147.84,147.12,88.8,87.36,67.2,22.08,21.36,21.6,24.24,22.32
6425590009 TOWN OF ANDOVER,6/8/2012,1 Power Factor,Power Factor,62.142857,63.309353,61.870504,63.120567,62.142857,63.120567,66.666667,63.120567,61.971831,62.411348,62.676056,61.702128,61.971831,62.676056,61.971831,61.805556,62.237762,64.383562,65.771812,62.676056,63.194444,62.411348,62.937063,71.914894,78.446602,77.548387,77.52235,77.848912,77.334994,77.295285,77.295285,80.890337,84.015224,83.300395,83.149448,83.282981,83.199195,83.283582,83.983051,84.485666,84.180249,83.833495,84.154589,84.276127,84.416826,84.296724,84.093113,84.011628,84.027106,84.027106,83.99612,84.159378,84.07767,84.097561,84.12853,84.143969,83.685221,83.809524,84.100418,84.206081,84.038462,83.984747,84.003831,83.867833,83.823529,83.839373,83.72549,83.627451,83.823529,83.791749,83.984375,83.730159,83.845127,85.28481,89.867841,84.703947,78.08418,76.51633,74.05303,74.115456,83.58209,83.717775,84.139785,83.945578,83.468835,84.016393,84.038199,84.087791,73.852295,73.239437,72.164948,63.013699,62.237762,62.068966,66.013072,63.69863
6425590009 TOWN OF ANDOVER,6/8/2012,2,kVAh,33.6,33.36,33.36,33.84,33.6,33.84,36,33.84,34.08,33.84,34.08,33.84,34.08,34.08,34.08,34.56,34.32,35.04,35.76,34.08,34.56,33.84,34.32,56.4,123.6,186,187.92,187.44,192.72,193.44,193.44,221.04,252.24,242.88,239.28,238.32,238.56,241.2,283.2,284.64,250.32,247.92,248.4,250.32,251.04,249.12,247.44,247.68,247.92,247.92,247.44,246.96,247.2,246,246.48,246.72,250.08,252,286.8,284.16,249.6,251.76,250.56,246.96,244.8,245.04,244.8,244.8,244.8,244.32,245.76,181.44,179.76,151.68,108.96,145.92,165.36,154.32,126.72,128.88,176.88,176.88,178.56,176.4,177.12,175.68,175.92,174.96,120.24,119.28,93.12,35.04,34.32,34.8,36.72,35.04
6425590009 TOWN OF ANDOVER,6/9/2012,1 kWh,kWh,22.32,21.12,21.6,21.36,21.6,21.36,21.12,21.6,21.36,21.6,21.84,24.72,21.6,21.36,21.84,21.6,21.84,21.6,21.84,21.6,21.84,21.84,21.84,24.48,78.24,78.96,78.48,88.8,89.52,135.36,144.48,143.04,159.12,185.52,192.96,205.68,206.64,209.04,207.84,205.2,204,204.96,202.8,200.88,203.52,203.52,204.24,203.76,203.76,205.44,204.24,204.96,205.92,203.76,211.44,235.92,219.84,204.96,205.92,202.56,201.6,204,203.76,204,202.56,174.24,150.48,150.48,150,150.48,152.4,152.4,149.76,149.52,149.52,149.76,149.28,169.2,182.4,151.68,149.76,146.88,146.88,146.64,146.88,146.64,93.84,92.4,94.32,130.32,138,134.4,132.72,106.32,51.84,20.88
6425590009 TOWN OF ANDOVER,6/9/2012,1 Power Factor,Power Factor,65.034965,62.411348,62.5,61.805556,62.068966,61.805556,61.971831,62.5,62.237762,62.5,62.758621,66.883117,62.5,61.805556,62.328767,62.068966,62.328767,62.937063,61.904762,62.068966,62.328767,61.904762,62.758621,64.556962,86.702128,86.578947,86.737401,87.677725,86.946387,80.918221,81.461434,81.309686,81.750925,83.567568,85.079365,87.093496,87.057634,87.537688,87.298387,86.978637,87.001024,87.142857,86.934156,86.825726,87.063655,86.974359,87.103378,87.166324,87.166324,87.169043,87.103378,87.321063,87.283825,87.166324,86.79803,87.222715,87.238095,87.142857,87.106599,86.831276,86.866598,87.090164,87.166324,87.001024,87.100103,85.411765,83.935743,84.048257,84.005376,83.823529,84.10596,84.217507,83.870968,83.84926,83.736559,83.870968,83.71467,83.530806,84.444444,83.708609,84.097035,83.835616,83.835616,83.813443,83.72093,83.584131,74.334601,74.038462,74.714829,76.478873,76.769025,75.880759,75.443383,74.328859,69.230769,62.142857
6425590009 TOWN OF ANDOVER,6/9/2012,2,kVAh,34.32,33.84,34.56,34.56,34.8,34.56,34.08,34.56,34.32,34.56,34.8,36.96,34.56,34.56,35.04,34.8,35.04,34.32,35.28,34.8,35.04,35.28,34.8,37.92,90.24,91.2,90.48,101.28,102.96,167.28,177.36,175.92,194.64,222,226.8,236.16,237.36,238.8,238.08,235.92,234.48,235.2,233.28,231.36,233.76,234,234.48,233.76,233.76,235.68,234.48,234.72,235.92,233.76,243.6,270.48,252,235.2,236.4,233.28,232.08,234.24,233.76,234.48,232.56,204,179.28,179.04,178.56,179.52,181.2,180.96,178.56,178.32,178.56,178.56,178.32,202.56,216,181.2,178.08,175.2,175.2,174.96,175.44,175.44,126.24,124.8,126.24,170.4,179.76,177.12,175.92,143.04,74.88,33.6
