Usage statistics start at 05:00 each day
,Energy.AHS_N1-DG-kWh-Energy (Trend1),Energy.AHS_N1-DHB - kWh Total (Trend1),Energy.AHS_N1-DL-Energy-kWh (Trend1),Energy.AHS_N1-Main-kWh-Energy (Trend1),Energy.CollinCtr-Energy-kWh (Trend1),Energy.M1-kWh-Energy (Trend1)
2016-02-25,1098.4000000000233,534.3500000000058,1622.0,5277.0,980.2000000000116,10.930000000000291
2016-02-26,1112.8999999999942,543.3499999999913,1514.3000000000175,5723.0,968.8000000000175,0.2999999999992724
2016-02-27,431.5,229.19000000000233,770.1999999999534,3741.0,1208.7000000000116,0.5200000000004366
2016-02-28,508.20000000001164,221.27999999999884,597.4000000000233,2189.0,217.20000000001164,0.7099999999991269
2016-02-29,1312.8999999999942,614.679999999993,1618.100000000035,5263.0,472.70000000001164,6.389999999999418
2016-03-01,1744.7000000000116,555.6499999999942,1605.5,5856.0,498.6000000000058,0.6399999999994179
2016-03-02,1349.3000000000175,561.179999999993,1614.5,5618.0,525.2999999999884,0.31999999999970896
2016-03-03,1345.0,618.9899999999907,1606.600000000035,6145.0,926.3999999999942,0.16999999999825377
2016-03-04,1374.7000000000116,542.2700000000041,1532.399999999965,6574.0,1520.8000000000175,0.020000000000436557
2016-03-05,481.69999999998254,253.77999999999884,663.5999999999767,4253.0,1723.7000000000116,0.2999999999992724
2016-03-06,534.8999999999942,242.24000000000524,674.3000000000466,4374.0,1737.1000000000058,0.43000000000029104
2016-03-07,1357.1999999999825,575.2299999999959,1604.5,5563.0,498.6000000000058,0.5500000000029104
2016-03-08,1294.6000000000058,605.9800000000105,1650.1999999999534,5672.0,675.0,12.069999999999709
2016-03-09,1385.5,574.4599999999919,1694.0999999999767,5861.0,736.2000000000116,119.09999999999854
2016-03-10,1364.0,572.0800000000017,1760.2999999999884,5777.0,691.2999999999884,143.11000000000058
2016-03-11,1175.6000000000058,498.4600000000064,1266.5,5617.0,1281.6000000000058,19.739999999997963
2016-03-12,323.0,202.4100000000035,606.5,3750.0,1669.6000000000058,0.7200000000011642
2016-03-13,421.8999999999942,212.0500000000029,685.7000000000116,3484.0,1377.8000000000175,0.7900000000008731
2016-03-14,1220.1000000000058,550.3000000000029,1573.2999999999884,5346.0,540.8999999999942,0.6799999999966531
2016-03-15,1249.8999999999942,575.4000000000087,1640.0,5742.0,800.3000000000175,0.7299999999995634
2016-03-16,1235.6000000000058,567.5,1636.5,5429.0,561.8999999999942,23.580000000001746
2016-03-17,1243.3999999999942,574.1999999999971,1593.2000000000116,5630.0,788.0999999999767,51.090000000000146
2016-03-18,1139.8000000000175,559.6999999999971,1546.5999999999767,5455.0,648.5999999999767,3.069999999999709
2016-03-19,540.3999999999942,220.1999999999971,886.5999999999767,4251.0,1391.7999999999884,0.4900000000016007
2016-03-20,436.29999999998836,205.5,574.7999999999884,2535.0,251.0,0.4599999999991269
2016-03-21,529.0,201.10000000000582,631.6000000000349,3092.0,572.0,0.42000000000189175
2016-03-22,1467.1000000000058,542.3999999999942,1578.2000000000116,5608.0,520.2000000000116,0.8999999999978172
2016-03-23,1337.2000000000116,581.0,1691.0,5873.0,876.5,38.400000000001455
2016-03-24,1202.0,558.1000000000058,1547.0,5364.0,607.3000000000175,0.5300000000024738
2016-03-25,579.6999999999825,236.5,652.9000000000233,2798.0,405.3999999999942,0.5399999999972351
2016-03-26,530.0,222.5,547.8000000000466,2748.0,535.6000000000058,0.4400000000023283
2016-03-27,359.30000000001746,220.3000000000029,600.4000000000233,2714.0,770.0,0.5900000000001455
2016-03-28,1278.6000000000058,557.5,1645.9000000000233,5435.0,536.0,0.5900000000001455
2016-03-29,1300.3000000000175,545.5,1595.0999999999767,6025.0,1116.3999999999942,0.5400000000008731
2016-03-30,1259.0,576.1999999999971,1592.0,5605.0,796.0,24.389999999999418
2016-03-31,997.7999999999884,480.29999999998836,1382.9000000000233,4403.0,406.20000000001164,150.5799999999981
Metasys File,2016 Q1 - AHS-Electric  & GasTrend-June 2015  - Feb 2016.csv,Report Format,Summary,Time Period,Full Day,Start Time,05:00
a2586ef5be88744e8c4a7d5fae7398d0
